date,state,district,total,anomaly_score
01-03-2025,Rajasthan,Pali,2435,0.08736341363431355
01-03-2025,Bihar,Sitamarhi,3191,0.09438805860604471
01-03-2025,Rajasthan,Churu,801,0.020704254576667136
01-03-2025,Uttar Pradesh,Allahabad,1150,0.05926409043068592
01-03-2025,Bihar,East Champaran,1182,0.05926409043068592
01-03-2025,Tamil Nadu,Madurai,1018,0.045282612491180374
01-03-2025,Punjab,Sri Muktsar Sahib,1088,0.050846840800042536
01-03-2025,Jharkhand,Deoghar,805,0.020704254576667136
01-03-2025,Maharashtra,Parbhani,1762,0.07808550019695992
01-03-2025,Tamil Nadu,Tiruvannamalai,896,0.030445891884355647
01-03-2025,Jharkhand,Jamtara,1010,0.045282612491180374
01-03-2025,Bihar,Gopalganj,931,0.03536138120247778
01-03-2025,Uttar Pradesh,Bara Banki,702,0.0036760332874871127
01-03-2025,Maharashtra,Yavatmal,2637,0.09028341947608298
01-03-2025,Delhi,South Delhi,2011,0.08387242085846591
01-03-2025,Andhra Pradesh,Cuddapah,902,0.032081063698287116
01-03-2025,Uttar Pradesh,Sitapur,1566,0.07348407170086846
01-03-2025,Punjab,Sangrur,1505,0.07119268040943305
01-03-2025,Gujarat,Gandhinagar,898,0.030445891884355647
01-03-2025,Odisha,Cuttack,1061,0.050846840800042536
01-03-2025,Maharashtra,Aurangabad,2110,0.08445326928272845
01-03-2025,Uttar Pradesh,Kasganj,927,0.03536138120247778
01-03-2025,Tamil Nadu,Salem,726,0.011612118586514564
01-03-2025,Uttar Pradesh,Sonbhadra,1229,0.06322147034366565
01-03-2025,Maharashtra,Pune,1080,0.050846840800042536
01-03-2025,Bihar,Gaya,1042,0.04973098135782328
01-03-2025,Tamil Nadu,Ramanathapuram,667,0.0026239609237379558
01-03-2025,Punjab,Jalandhar,1248,0.06378834188966742
01-03-2025,Maharashtra,Nagpur,1082,0.050846840800042536
01-03-2025,Maharashtra,Mumbai Suburban,1220,0.06322147034366565
01-03-2025,Maharashtra,Palghar,1175,0.05926409043068592
01-03-2025,Maharashtra,Nashik,988,0.041962101209954805
01-03-2025,Bihar,Rohtas,708,0.005784453741542128
01-03-2025,Rajasthan,Tonk,911,0.03481373644403185
01-03-2025,Chhattisgarh,Bastar,1322,0.06776719995023395
01-03-2025,Gujarat,Rajkot,711,0.005784453741542128
01-03-2025,Uttar Pradesh,Gonda,1105,0.0547642611901088
01-03-2025,Madhya Pradesh,Barwani,771,0.01801923259755811
01-03-2025,Rajasthan,Churu,1428,0.07119268040943305
01-03-2025,Madhya Pradesh,Rewa,667,0.0026239609237379558
01-03-2025,Andhra Pradesh,Kurnool,717,0.007898588037626997
